DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#e41a1c

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n574,1
n605,1
n696,1
n824,1
n1080,1
n1360,1
n1362,1
n1364,1
n1370,1
n1372,1
n1376,1
n1378,1
n1380,1
n1416,1
n1440,1
n1493,1
n1654,1
n1746,1
n1901,1
n1938,1
n2082,1
n2184,1
n2522,1
n2684,1
n2688,1
n2690,1
n2692,1
n2694,1
n2696,1
n2697,1
n2703,1
n2706,1
n2708,1
n2714,1
n2718,1
n2722,1
n2728,1
n2738,1
n2740,1
n2741,1
n2742,1
n2744,1
n2770,1
n2896,1
n2936,1
n3068,1
n3096,1
n3110,1
n3430,1
n3446,1
n3478,1
n3588,1
n3590,1
n3592,1
n3594,1
n4054,1
n4056,1
n4062,1
n4218,1
n4278,1
n4582,1
n4760,1
n4820,1
n4956,1
n4958,1
n4962,1
n5080,1
n5436,1
n5530,1
n5636,1
n5950,1
n5992,1
n6001,1
n6152,1
n6248,1
n6252,1
n6258,1
n6262,1
n6266,1
n6880,1
n6972,1
n7048,1
n7206,1
n7970,1
n8146,1
n8182,1
n8280,1
n8440,1
n8542,1
n8646,1
n8902,1
n8904,1
n8906,1
n8908,1
n8913,1
n8924,1
n9050,1
n9061,1
n9456,1
n9528,1
n9560,1
n9561,1
n9930,1
n10508,1
n10628,1
n10630,1
n10632,1
n10638,1
n10768,1
n11282,1
n11292,1
n11301,1
n11304,1
n11306,1
n11308,1
n11310,1
n11312,1
n11319,1
n11326,1
n11330,1
n11334,1
n11338,1
n11418,1
n11770,1
n11799,1
n11847,1
n11902,1
n11952,1
n12612,1
n12922,1
n13010,1
n13111,1
n13318,1
n13831,1
n14066,1
n14230,1
n14364,1
n14994,1
n14998,1
n15092,1
n15094,1
n15248,1
n15275,1
n16092,1
n16173,1
n16206,1
n16521,1
n16554,1
n16582,1
n16626,1
n17306,1
n17308,1
n17324,1
n17328,1
n17378,1
n17532,1
n17540,1
n17548,1
n17620,1
n17636,1
n17754,1
n17995,1
n18084,1
n18278,1
n18280,1
n18284,1
n18494,1
n19262,1
n19734,1
n20810,1
n21076,1
n22136,1
n22142,1
n22226,1
n23050,1
n23471,1
n23609,1
n23620,1
n23645,1
n23732,1
n24094,1
n25018,1
n25183,1
n25842,1
n26140,1
n26334,1
n26389,1
n26554,1
n26564,1
n27391,1
n27598,1
n28641,1
n28658,1
n29462,1
n29994,1
n30054,1
n30220,1
n30228,1
n30230,1
n30352,1
