DATASET_BINARY

    SEPARATOR COMMA

    DATASET_LABEL,binary

    COLOR,#e41a1c

    FIELD_SHAPES,1

    FIELD_LABELS,f1

    DATA
    n254,1
n643,1
n714,1
n1084,1
n1392,1
n1462,1
n1479,1
n1605,1
n1962,1
n1994,1
n1997,1
n2314,1
n2334,1
n2938,1
n2970,1
n2980,1
n3418,1
n3440,1
n3456,1
n3472,1
n3500,1
n3504,1
n3738,1
n3824,1
n3880,1
n3978,1
n4219,1
n4228,1
n4236,1
n4278,1
n4337,1
n4342,1
n4626,1
n4630,1
n4842,1
n4879,1
n4934,1
n4978,1
n4999,1
n5004,1
n5058,1
n5376,1
n5530,1
n5752,1
n6880,1
n7102,1
n7340,1
n7343,1
n7410,1
n7413,1
n7622,1
n8192,1
n8480,1
n8531,1
n8534,1
n8924,1
n9869,1
n9908,1
n10516,1
n10820,1
n10824,1
n11326,1
n11387,1
n11397,1
n11626,1
n11686,1
n11687,1
n11734,1
n11768,1
n11775,1
n11792,1
n11875,1
n12397,1
n12522,1
n12843,1
n13408,1
n13464,1
n13536,1
n13537,1
n13678,1
n13941,1
n13950,1
n14232,1
n14258,1
n14261,1
n14308,1
n14393,1
n15288,1
n16640,1
n17021,1
n17312,1
n17354,1
n17411,1
n17600,1
n17684,1
n17692,1
n17694,1
n17715,1
n17718,1
n17719,1
n17935,1
n18084,1
n18510,1
n18827,1
n18890,1
n18994,1
n19038,1
n19074,1
n19080,1
n19264,1
n20180,1
n20692,1
n20912,1
n20958,1
n21423,1
n21676,1
n21677,1
n22038,1
n22149,1
n22150,1
n22152,1
n22154,1
n22158,1
n22872,1
n22876,1
n22877,1
n23312,1
n23500,1
n23522,1
n23736,1
n23743,1
n23748,1
n24016,1
n24819,1
n25108,1
n25115,1
n25119,1
n25490,1
n25866,1
n25997,1
n26088,1
n26094,1
n26646,1
n27076,1
n27142,1
n27604,1
n27736,1
n28048,1
n29382,1
n30015,1
n30162,1
n30166,1
n30167,1
