DATASET_BINARY

    SEPARATOR COMMA

    DATASET_LABEL,binary

    COLOR,#e41a1c

    FIELD_SHAPES,1

    FIELD_LABELS,f1

    DATA
    n28706,1
n28707,1
n28710,1
n28711,1
n28712,1
n28713,1
n28714,1
n28718,1
n28724,1
n28726,1
n28727,1
n28728,1
n28730,1
n28732,1
n28733,1
n28734,1
n28736,1
n28738,1
n28740,1
n28744,1
n28746,1
n28747,1
n28748,1
n28750,1
n28752,1
n28756,1
n28758,1
n28759,1
n28760,1
n28764,1
n28766,1
n28767,1
n28770,1
n28774,1
n28775,1
n28776,1
n28778,1
n28780,1
n28784,1
n28785,1
n28786,1
n28788,1
n28789,1
n28792,1
n28793,1
n28796,1
n28797,1
n28798,1
n28800,1
n28802,1
n28804,1
n28806,1
n28808,1
n28809,1
