DATASET_BINARY

    SEPARATOR COMMA

    DATASET_LABEL,binary

    COLOR,#e41a1c

    FIELD_SHAPES,1

    FIELD_LABELS,f1

    DATA
    n17330,1
n17334,1
n17336,1
n17337,1
n17340,1
n17344,1
n17345,1
n17346,1
n17350,1
n17352,1
n17353,1
n17354,1
n17356,1
n17358,1
n17360,1
n17362,1
n17364,1
n17366,1
n17368,1
n17372,1
n17374,1
n17376,1
n17378,1
n17379,1
n17384,1
n17385,1
n17386,1
n17387,1
n17388,1
n17390,1
n17392,1
n17394,1
n17395,1
n17396,1
n17398,1
n17402,1
n17403,1
n17410,1
n17411,1
n17412,1
n17413,1
n17416,1
n17418,1
n17419,1
n17422,1
n17426,1
n17427,1
n17428,1
n17430,1
n17431,1
n17434,1
n17436,1
n17438,1
n17439,1
n17440,1
n17444,1
n17445,1
n17446,1
n17448,1
n17450,1
n17451,1
n17454,1
n17458,1
n17459,1
n17460,1
n17462,1
n17463,1
n17464,1
n17468,1
n17470,1
n17471,1
n17474,1
n17475,1
n17476,1
n17480,1
n17482,1
n17483,1
n17484,1
n17486,1
n17488,1
n17492,1
n17496,1
n17497,1
n17498,1
n17500,1
n17502,1
n17504,1
n17506,1
n17508,1
n17510,1
n17511,1
n17512,1
n17514,1
n17516,1
n17518,1
n17522,1
n17523,1
n17524,1
n17526,1
n17528,1
n17530,1
n17532,1
n17534,1
n17536,1
n17537,1
