DATASET_BINARY

    SEPARATOR COMMA

    DATASET_LABEL,binary

    COLOR,#e41a1c

    FIELD_SHAPES,1

    FIELD_LABELS,f1

    DATA
    n4064,1
n10636,1
n10637,1
n15018,1
n17319,1
n18288,1
n18290,1
n18294,1
n18298,1
n18299,1
n18300,1
n18302,1
n18304,1
n18306,1
n18308,1
n18310,1
n18312,1
n18314,1
n18315,1
n18318,1
n18322,1
n18324,1
n18326,1
n18330,1
n18331,1
n18332,1
n18334,1
n18336,1
n18338,1
n18340,1
n18341,1
n18344,1
n18346,1
n18347,1
n18350,1
n18352,1
n18354,1
n18355,1
n18358,1
n18359,1
n18362,1
n18363,1
n18368,1
n18369,1
n18372,1
n18374,1
n18375,1
n18376,1
n18378,1
n18380,1
n18384,1
n18385,1
n18386,1
n18388,1
n18389,1
n18392,1
n18394,1
n18398,1
n18399,1
n18400,1
n18404,1
n18405,1
n18406,1
n18408,1
n18410,1
n18412,1
n18413,1
n18420,1
n18422,1
n18423,1
n18426,1
n18427,1
n18428,1
n18430,1
n18431,1
n18432,1
n18436,1
n18438,1
n18439,1
n18440,1
n18444,1
n18445,1
n18446,1
n18447,1
n18448,1
n18452,1
n18454,1
n18455,1
n18458,1
n18460,1
n18462,1
n18463,1
n18468,1
n18469,1
n18470,1
n18472,1
n18473,1
n18474,1
n18478,1
n18480,1
n18481,1
n18482,1
n18484,1
n18486,1
n18488,1
n18489,1
n18494,1
n18495,1
n18496,1
n18498,1
n18502,1
n18503,1
n18504,1
n18506,1
n18508,1
n18510,1
n18514,1
n18516,1
n18518,1
n18520,1
n18521,1
n18524,1
n18525,1
n18528,1
n18529,1
n18530,1
n18532,1
n18536,1
n18537,1
n18538,1
n18540,1
n18544,1
n18545,1
n18550,1
n18551,1
n18552,1
n18553,1
n18554,1
n18558,1
n18559,1
n18560,1
n18562,1
n18563,1
n18566,1
n18568,1
n18569,1
n18572,1
n18576,1
n18577,1
n18578,1
n18580,1
n18584,1
n18585,1
n18586,1
n18588,1
n18589,1
n18594,1
n18595,1
n18602,1
n18603,1
n18604,1
n18606,1
n18607,1
n18610,1
n18611,1
n18612,1
n18614,1
n18616,1
n18618,1
n18619,1
n18624,1
n18625,1
n18626,1
n18628,1
n18632,1
n18633,1
n18636,1
n18637,1
n18638,1
n18642,1
n18643,1
n18644,1
n18645,1
n18648,1
n18650,1
n18651,1
n18656,1
n18658,1
n18659,1
n18660,1
n18662,1
n18664,1
n18666,1
n18667,1
n18670,1
n18672,1
n18673,1
n18676,1
n18677,1
n18678,1
n18680,1
n18682,1
n18683,1
n18690,1
n18691,1
n18694,1
n18695,1
n18696,1
n18698,1
n18700,1
n18701,1
n18704,1
n18705,1
n18706,1
n18710,1
n18711,1
n18712,1
n18714,1
n18718,1
n18720,1
n18721,1
n18722,1
n18724,1
n18728,1
n18729,1
n18730,1
n18731,1
n18734,1
n18736,1
n18740,1
n18741,1
