DATASET_SIMPLEBAR

SEPARATOR COMMA

DATASET_LABEL,bar

COLOR,#ff0000

WIDTH,100

DATA
n1,84.74
n2,26.42
n4,34.17
n6,37.04
n12,35.89
n13,76.63
n20,38.21
n21,31.51
n22,37.19
n23,91.58
n24,29.95
n26,79.9
n28,7.07
n29,28.51
n34,51.08
n36,19.88
n37,57.64
n38,83.32
n40,84.91
n42,24.44
n44,23.9
n45,27.62
n46,81.51
n50,75.61
n51,66.63
n54,26.63
n56,17.15
n57,65.46
n58,25.1
n60,42.47
n61,76.53
n62,20.61
n68,42.75
n70,38.77
n71,71.07
n72,50.63
n74,68.81
n76,43.28
n78,31.41
n80,49.05
n82,26.37
n83,42.83
n92,8.17
n93,47.91
n94,39.98
n96,48.11
n98,24.57
n99,87.95
n104,46.87
n105,23.28
n106,64.22
n108,40.49
n112,36.27
n113,8.93
n114,19.35
n116,31.01
n117,43.46
n120,23.21
n122,40.28
n124,25.3
n126,13.16
n127,25.59
n130,32.58
n131,44.14
n132,73.61
n134,32.77
n136,24.18
n138,21.0
n139,66.68
n142,27.32
n144,50.19
n146,18.12
n148,53.64
n149,44.78
n152,76.4
n154,47.62
n158,40.25
n160,28.83
n162,88.31
n164,78.93
n166,45.38
n167,59.03
n168,10.92
n172,31.57
n174,9.69
n175,48.82
n176,13.64
n178,6.16
n180,36.58
n181,34.1
n184,92.05
n190,24.34
n191,31.5
n192,15.35
n193,46.73
n196,65.12
n198,41.4
n199,87.71
n200,43.92
n202,30.06
n203,69.01
n204,7.58
n206,28.12
n208,79.55
n212,36.55
n216,64.58
n218,55.74
n220,38.42
n221,77.32
n222,29.78
n224,17.41
n226,17.83
n228,14.34
n229,73.96
n234,60.96
n235,48.05
n236,67.15
n240,43.69
n241,63.11
n242,67.55
n244,33.71
n245,26.86
n250,39.97
n251,68.04
n252,32.09
n254,13.39
n256,9.42
n258,27.06
n259,25.91
n260,61.42
n264,58.34
n265,34.95
n268,24.05
n270,35.68
n271,35.7
n272,12.73
n274,59.49
n275,49.07
n280,64.96
n281,79.73
n284,20.58
n285,33.29
n286,30.23
n288,26.25
n289,10.78
n296,31.59
n297,78.52
n298,54.9
n300,78.27
n301,40.74
n308,10.57
n309,18.28
n312,32.37
n314,32.27
n316,30.18
n317,87.58
n318,24.96
n322,30.98
n324,92.32
n326,29.41
n327,86.56
n328,31.92
n332,11.37
n333,77.29
n334,28.81
n336,31.11
n337,48.7
n340,60.69
n344,22.57
n345,40.19
n346,68.99
n348,12.6
n349,31.13
n352,32.15
n354,20.65
n356,29.64
n357,43.23
n360,46.11
n362,39.25
n363,53.77
n364,53.18
n366,98.3
n368,16.19
n372,23.61
n374,43.01
n376,24.76
n378,25.4
n379,74.83
n382,47.82
n383,42.12
n384,16.63
n386,28.11
n388,61.14
n392,35.15
n393,66.7
n394,88.01
n396,27.37
n397,78.11
n400,70.34
n402,28.66
n406,42.84
n407,71.29
n408,19.66
n409,42.32
n414,31.63
n416,51.86
n417,64.89
n418,28.73
n420,89.6
n422,19.78
n423,90.44
n428,27.13
n429,90.88
n430,47.07
n432,74.31
n434,32.57
n435,64.8
n440,9.36
n441,80.18
n442,59.24
n446,13.68
n448,23.77
n452,25.14
n453,52.85
n456,34.96
n457,68.95
n458,20.06
n460,28.23
n461,37.02
n466,27.75
n467,48.04
n468,40.72
n469,75.88
n472,31.83
n473,47.11
n474,77.72
n476,44.94
n478,31.85
n479,25.54
n480,60.49
n484,37.15
n486,26.69
n488,nan
n490,23.91
n492,39.31
n493,63.17
n494,46.02
n500,23.89
n501,70.53
n502,72.82
n504,33.42
n506,43.88
n507,60.28
n510,63.0
n512,66.63
n513,81.33
n516,18.43
n518,13.38
n520,24.22
n521,23.06
n524,61.66
n526,37.38
n528,14.65
n529,14.71
n530,15.33
n532,58.18
n534,83.22
n536,71.31
n538,35.72
n540,61.99
n541,60.36
n544,84.4
n545,43.35
n546,35.39
n550,38.02
n552,17.73
n554,64.92
n558,33.89
n559,64.41
n562,32.27
n563,10.57
n564,25.66
n565,41.67
n568,82.82
n569,48.81
n572,27.69
n574,92.57
n578,20.18
n579,65.35
n580,80.53
n584,79.49
n586,40.64
n588,14.63
n589,23.46
n592,86.23
n594,11.35
n595,24.52
n596,70.8
n598,47.83
n600,16.82
n601,28.75
n604,13.34
n605,39.82
n608,43.98
n616,22.67
n618,37.66
n619,64.27
n622,59.51
n624,10.93
n626,20.73
n627,49.61
n630,15.05
n631,35.96
n634,3.73
n635,51.87
n636,57.15
n637,15.36
n640,17.15
n642,29.45
n643,59.37
n646,38.99
n648,30.45
n650,17.66
n652,45.37
n653,56.33
n656,33.2
n657,41.93
n660,nan
n661,95.9
n662,33.19
n664,60.58
n666,70.89
n668,42.14
n669,50.8
n672,70.53
n673,93.15
n678,20.23
n680,20.12
n681,24.65
n684,40.76
n685,67.56
n688,58.2
n690,48.35
n691,31.02
n692,51.04
n694,26.08
n695,60.92
n696,23.33
n704,7.51
n705,29.97
n706,30.84
n707,37.22
n708,82.41
n714,17.08
n715,77.2
n718,70.07
n720,29.02
n721,61.65
n722,88.4
n724,53.48
n726,47.61
n727,68.31
n730,14.49
n731,36.68
n732,66.54
n734,36.4
n736,28.73
n738,74.07
n742,37.61
n743,28.13
n744,11.98
n745,83.6
n746,38.35
n748,57.49
n750,50.97
n754,26.39
n755,69.02
n756,78.65
n760,60.86
n761,84.24
n764,15.53
