DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#000000

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n1,1
n2,1
n4,1
n6,1
n12,1
n13,1
n20,1
n21,1
n22,1
n23,1
n24,1
n26,1
n28,1
n29,1
n34,1
n36,1
n37,1
n38,1
n40,1
n42,1
n44,1
n45,1
n46,1
n50,1
n51,1
n54,1
n56,1
n57,1
n58,1
n60,1
n61,1
n62,1
n68,1
n70,1
n71,1
n72,1
n74,1
n76,1
n78,1
n80,1
n82,1
n83,1
n92,1
n93,1
n94,1
n96,1
n98,1
n99,1
n104,1
n105,1
n106,1
n108,1
n112,1
n113,1
n114,1
n116,1
n117,1
n120,1
n122,1
n124,1
n126,1
n127,1
n130,1
n131,1
n132,1
n134,1
n136,1
n138,1
n139,1
n142,1
n144,1
n146,1
n148,1
n149,1
n152,1
n154,1
n158,1
n160,1
n162,1
n164,1
n166,1
n167,1
n168,1
n172,1
n174,1
n175,1
n176,1
n178,1
n180,1
n181,1
n184,1
n190,1
n191,1
n192,1
n193,1
n196,1
n198,1
n199,1
n200,1
n202,1
n203,1
n204,1
n206,1
n208,1
n212,1
n216,1
n218,1
n220,1
n221,1
n222,1
n224,1
n226,1
n228,1
n229,1
n234,1
n235,1
n236,1
n240,1
n241,1
n242,1
n244,1
n245,1
n250,1
n251,1
n252,1
n254,1
n256,1
n258,1
n259,1
n260,1
n264,1
n265,1
n268,1
n270,1
n271,1
n272,1
n274,1
n275,1
n280,1
n281,1
n284,1
n285,1
n286,1
n288,1
n289,1
n296,1
n297,1
n298,1
n300,1
n301,1
n308,1
n309,1
n316,1
n317,1
n318,1
n322,1
n324,1
n326,1
n327,1
n328,1
n332,1
n333,1
n334,1
n336,1
n337,1
n340,1
n344,1
n345,1
n346,1
n348,1
n349,1
n352,1
n354,1
n356,1
n357,1
n360,1
n362,1
n363,1
n364,1
n366,1
n368,1
n372,1
n374,1
n376,1
n378,1
n379,1
n382,1
n383,1
n384,1
n386,1
n388,1
n392,1
n393,1
n394,1
n396,1
n397,1
n400,1
n402,1
n406,1
n407,1
n408,1
n409,1
n414,1
n416,1
n417,1
n418,1
n420,1
n422,1
n423,1
n428,1
n429,1
n430,1
n432,1
n434,1
n435,1
n440,1
n441,1
n442,1
n446,1
n448,1
n452,1
n453,1
n456,1
n457,1
n458,1
n460,1
n461,1
n466,1
n467,1
n468,1
n469,1
n472,1
n473,1
n474,1
n476,1
n478,1
n479,1
n480,1
n484,1
n486,1
n488,1
n490,1
n492,1
n493,1
n494,1
n500,1
n501,1
n502,1
n504,1
n506,1
n507,1
n510,1
n512,1
n513,1
n516,1
n518,1
n520,1
n521,1
n524,1
n526,1
n528,1
n529,1
n530,1
n532,1
n534,1
n536,1
n538,1
n540,1
n541,1
n544,1
n545,1
n546,1
n552,1
n558,1
n559,1
n562,1
n563,1
n564,1
n565,1
n568,1
n569,1
n578,1
n579,1
n580,1
n584,1
n586,1
n588,1
n589,1
n592,1
n594,1
n595,1
n596,1
n598,1
n600,1
n601,1
n648,1
n660,1
n668,1
n672,1
n673,1
n685,1
n688,1
n690,1
n691,1
n692,1
n706,1
n707,1
n732,1
n734,1
n736,1
n738,1
n742,1
n743,1
n744,1
n745,1
n750,1
n754,1
n755,1
n756,1
n760,1
n761,1
n764,1
n766,1
n767,1
n772,1
n773,1
n774,1
n778,1
n779,1
n780,1
n782,1
n783,1
n786,1
n788,1
n789,1
n794,1
n795,1
n796,1
n797,1
n798,1
n802,1
n804,1
n806,1
n808,1
n810,1
n811,1
n812,1
n814,1
n818,1
n819,1
n820,1
n821,1
n832,1
n834,1
n835,1
n847,1
n850,1
n852,1
n854,1
n856,1
n858,1
n860,1
n861,1
n862,1
n872,1
n873,1
n876,1
n877,1
n896,1
n897,1
n902,1
n904,1
n906,1
n907,1
n914,1
n925,1
n940,1
n944,1
n945,1
n946,1
n948,1
n950,1
n952,1
n953,1
n956,1
n957,1
n960,1
n962,1
n964,1
n970,1
n971,1
n972,1
n974,1
n975,1
n976,1
n980,1
n981,1
n982,1
n984,1
n985,1
n988,1
n990,1
n991,1
n994,1
n998,1
n1000,1
n1001,1
n1006,1
n1007,1
n1008,1
n1009,1
n1012,1
n1013,1
n1016,1
n1017,1
n1018,1
n1020,1
n1021,1
n1024,1
n1026,1
n1027,1
n1032,1
n1033,1
n1034,1
n1036,1
n1038,1
n1040,1
n1041,1
n1044,1
n1045,1
n1048,1
n1050,1
n1051,1
n1056,1
n1057,1
n1058,1
n1060,1
n1061,1
n1062,1
n1066,1
n1068,1
n1069,1
n1072,1
n1073,1
n1074,1
n1076,1
n1077,1
n1088,1
n1090,1
n1092,1
n1094,1
n1095,1
n1102,1
n1104,1
n1106,1
n1108,1
n1110,1
n1111,1
n1142,1
n1143,1
n1144,1
n1146,1
n1147,1
n1148,1
n1154,1
n1156,1
n1157,1
n1158,1
n1162,1
n1164,1
n1165,1
n1166,1
n1168,1
n1170,1
n1171,1
n1176,1
n1177,1
n1178,1
n1180,1
n1184,1
n1185,1
n1186,1
n1188,1
n1189,1
n1192,1
n1194,1
n1196,1
n1197,1
n1200,1
n1202,1
n1203,1
n1206,1
n1207,1
n1210,1
n1212,1
n1214,1
n1215,1
n1218,1
n1220,1
n1222,1
n1223,1
n1226,1
n1227,1
n1228,1
n1230,1
n1232,1
n1234,1
n1235,1
n1242,1
n1243,1
n1244,1
n1246,1
n1248,1
n1250,1
n1252,1
n1254,1
n1255,1
n1258,1
n1260,1
n1261,1
n1262,1
n1266,1
n1267,1
n1268,1
n1270,1
n1271,1
n1272,1
n1274,1
n1280,1
n1282,1
n1284,1
n1285,1
n1288,1
n1290,1
n1292,1
n1293,1
n1294,1
n1298,1
n1299,1
n1300,1
n1302,1
n1303,1
n1306,1
n1307,1
n1314,1
n1315,1
n1316,1
n1318,1
n1319,1
n1322,1
n1324,1
n1325,1
n1326,1
n1328,1
n1330,1
n1331,1
n1335,1
n1338,1
n1340,1
n1341,1
n1342,1
n1346,1
n1347,1
n1348,1
n1350,1
n1352,1
n1354,1
n1356,1
n1358,1
n1359,1
n1627,1
n1680,1
n1744,1
n1775,1
n1792,1
n1793,1
n1794,1
n1796,1
n1797,1
n1801,1
n1816,1
n1818,1
n1819,1
n1823,1
n1828,1
n1830,1
n1831,1
n1832,1
n1846,1
n1847,1
n1852,1
n1854,1
n1856,1
n1857,1
n1858,1
n1860,1
n1862,1
n1864,1
n1865,1
n1868,1
n1870,1
n1924,1
n1934,1
n2000,1
n2002,1
n2006,1
n2007,1
n2008,1
n2010,1
n2011,1
n2028,1
n2035,1
n2038,1
n2048,1
n2049,1
n2196,1
n2197,1
n2204,1
n2205,1
n2206,1
n2207,1
n2340,1
n2342,1
n2343,1
n2392,1
n2393,1
n2401,1
n2420,1
n2438,1
n2440,1
n2441,1
n2536,1
n2537,1
n2550,1
n2551,1
n2552,1
n2553,1
n2558,1
n2560,1
n2561,1
n2648,1
n2649,1
n3072,1
n3073,1
n3234,1
n3238,1
n3240,1
n3242,1
n3243,1
n3244,1
n3246,1
n3250,1
n3252,1
n3253,1
n3254,1
n3258,1
n3259,1
n3260,1
n3262,1
n3263,1
n3302,1
n3422,1
n3424,1
n3440,1
n3475,1
n3502,1
n3636,1
n3654,1
n3670,1
n3696,1
n3725,1
n3766,1
n3814,1
n3815,1
n3820,1
n3821,1
n3824,1
n3825,1
n3826,1
n3828,1
n3830,1
n3832,1
n3834,1
n3836,1
n3838,1
n3840,1
n3844,1
n3846,1
n3847,1
n3850,1
n3851,1
n3852,1
n3854,1
n3856,1
n3857,1
n4026,1
n4124,1
n4126,1
n4166,1
n4167,1
n4176,1
n4231,1
n4242,1
n4294,1
n4295,1
n4892,1
n4902,1
n4940,1
n4941,1
n5012,1
n5022,1
n5024,1
n5026,1
n5027,1
n5052,1
n5054,1
n5056,1
n5058,1
n5059,1
n5094,1
n5112,1
n5121,1
n5138,1
n5143,1
n5148,1
n5149,1
n5152,1
n5154,1
n5155,1
n5158,1
n5166,1
n5167,1
n5174,1
n5194,1
n5200,1
n5206,1
n5207,1
n5208,1
n5209,1
n5210,1
n5212,1
n5214,1
n5215,1
n5224,1
n5226,1
n5230,1
n5232,1
n5233,1
n5236,1
n5237,1
n5238,1
n5239,1
n5242,1
n5244,1
n5245,1
n5248,1
n5250,1
n5252,1
n5253,1
n5254,1
n5256,1
n5258,1
n5259,1
n5264,1
n5266,1
n5267,1
n5268,1
n5270,1
n5272,1
n5274,1
n5276,1
n5278,1
n5279,1
n5282,1
n5284,1
n5288,1
n5292,1
n5293,1
n5294,1
n5295,1
n5298,1
n5300,1
n5302,1
n5303,1
n5306,1
n5308,1
n5309,1
n5310,1
n5312,1
n5314,1
n5315,1
n5318,1
n5320,1
n5322,1
n5323,1
n5328,1
n5330,1
n5331,1
n5332,1
n5334,1
n5335,1
n5336,1
n5340,1
n5341,1
n5346,1
n5348,1
n5350,1
n5351,1
n5354,1
n5355,1
n5358,1
n5360,1
n5361,1
n5362,1
n5364,1
n5365,1
n5370,1
n5371,1
n5372,1
n5374,1
n5376,1
n5377,1
n5380,1
n5384,1
n5385,1
n5388,1
n5389,1
n5390,1
n5392,1
n5393,1
n5552,1
n5566,1
n5568,1
n5570,1
n5571,1
n5664,1
n5674,1
n5676,1
n5677,1
n5744,1
n5814,1
n5820,1
n5824,1
n5825,1
n5826,1
n5828,1
n5829,1
n5832,1
n5834,1
n5835,1
n5836,1
n5838,1
n5840,1
n5841,1
n6080,1
n6110,1
n6238,1
n6242,1
n6278,1
n6280,1
n6281,1
n6319,1
n6340,1
n6346,1
n6347,1
n6364,1
n6365,1
n6370,1
n6374,1
n6375,1
n6376,1
n6378,1
n6379,1
n6380,1
n6400,1
n6401,1
n6406,1
n6408,1
n6409,1
n6418,1
n6419,1
n6424,1
n6425,1
n6436,1
n6439,1
n6453,1
n6462,1
n6464,1
n6466,1
n6470,1
n6472,1
n6473,1
n6474,1
n6478,1
n6482,1
n6483,1
n6484,1
n6486,1
n6488,1
n6489,1
n6490,1
n6492,1
n6500,1
n6501,1
n6504,1
n6505,1
n6506,1
n6508,1
n6509,1
n6512,1
n6513,1
n6514,1
n6516,1
n6518,1
n6520,1
n6521,1
n6524,1
n6525,1
n6526,1
n6532,1
n6534,1
n6536,1
n6537,1
n6542,1
n6544,1
n6546,1
n6547,1
n6550,1
n6551,1
n6552,1
n6554,1
n6556,1
n6558,1
n6560,1
n6561,1
n6562,1
n6566,1
n6568,1
n6569,1
n6570,1
n6576,1
n6578,1
n6579,1
n6580,1
n6584,1
n6585,1
n6586,1
n6587,1
n6590,1
n6591,1
n6594,1
n6596,1
n6597,1
n6600,1
n6601,1
n6602,1
n6604,1
n6606,1
n6607,1
n6610,1
n6616,1
n6617,1
n6620,1
n6621,1
n6622,1
n6626,1
n6627,1
n6630,1
n6632,1
n6634,1
n6635,1
n6636,1
n6638,1
n6640,1
n6641,1
n6644,1
n6648,1
n6649,1
n6650,1
n6654,1
n6655,1
n6656,1
n6658,1
n6660,1
n6661,1
n6666,1
n6668,1
n6669,1
n6670,1
n6672,1
n6673,1
n6676,1
n6677,1
n6682,1
n6683,1
n6686,1
n6688,1
n6689,1
n6690,1
n6692,1
n6694,1
n6696,1
n6698,1
n6699,1
n6702,1
n6703,1
n6706,1
n6708,1
n6710,1
n6711,1
n6714,1
n6715,1
n6718,1
n6719,1
n6720,1
n6722,1
n6723,1
n6726,1
n6728,1
n6734,1
n6735,1
n6736,1
n6738,1
n6739,1
n6742,1
n6744,1
n6745,1
n6746,1
n6748,1
n6749,1
n6754,1
n6755,1
n6758,1
n6760,1
n6762,1
n6764,1
n6765,1
n6766,1
n6770,1
n6771,1
n6772,1
n6774,1
n6775,1
n6778,1
n6780,1
n6781,1
n6784,1
n6786,1
n6787,1
n6792,1
n6793,1
n6794,1
n6796,1
n6800,1
n6802,1
n6803,1
n6804,1
n6806,1
n6808,1
n6809,1
n6814,1
n6815,1
n6820,1
n6821,1
n6822,1
n6823,1
n6824,1
n6826,1
n6830,1
n6831,1
n6832,1
n6833,1
n6838,1
n6840,1
n6842,1
n6844,1
n6845,1
n6848,1
n6849,1
n6850,1
n6852,1
n6853,1
n6854,1
n6858,1
n6860,1
n6862,1
n6864,1
n6865,1
n6866,1
n6870,1
n6871,1
n6872,1
n6876,1
n6877,1
n6878,1
n6879,1
n6926,1
n6942,1
n7000,1
n7004,1
n7006,1
n7008,1
n7009,1
n7012,1
n7013,1
n7036,1
n7050,1
n7051,1
n7064,1
n7080,1
n7082,1
n7083,1
n7092,1
n7130,1
n7148,1
n7149,1
n7162,1
n7164,1
n7165,1
n7166,1
n7168,1
n7170,1
n7172,1
n7173,1
n7210,1
n7232,1
n7234,1
n7236,1
n7250,1
n7251,1
n7255,1
n7264,1
n7288,1
n7289,1
n7290,1
n7292,1
n7294,1
n7295,1
n7298,1
n7300,1
n7302,1
n7303,1
n7308,1
n7310,1
n7311,1
n7312,1
n7314,1
n7316,1
n7318,1
n7320,1
n7321,1
n7326,1
n7327,1
n7328,1
n7330,1
n7332,1
n7334,1
n7336,1
n7337,1
n7348,1
n7349,1
n7354,1
n7355,1
n7362,1
n7363,1
n7364,1
n7366,1
n7367,1
n7374,1
n7402,1
n7404,1
n7422,1
n7423,1
n7424,1
n7425,1
n7443,1
n7458,1
n7466,1
n7467,1
n7468,1
n7470,1
n7471,1
n7474,1
n7475,1
n7476,1
n7478,1
n7480,1
n7481,1
n7484,1
n7485,1
n7490,1
n7491,1
n7494,1
n7495,1
n7496,1
n7497,1
n7500,1
n7502,1
n7503,1
n7506,1
n7507,1
n7508,1
n7510,1
n7512,1
n7513,1
n7522,1
n7524,1
n7525,1
n7548,1
n7550,1
n7551,1
n7554,1
n7555,1
n7556,1
n7558,1
n7560,1
n7562,1
n7563,1
n7580,1
n7581,1
n7582,1
n7583,1
n7588,1
n7589,1
n7590,1
n7600,1
n7602,1
n7604,1
n7606,1
n7608,1
n7610,1
n7611,1
n7618,1
n7619,1
n7644,1
n7646,1
n7652,1
n7656,1
n7660,1
n7661,1
n7662,1
n7663,1
n7666,1
n7667,1
n7670,1
n7671,1
n7672,1
n7673,1
n7674,1
n7676,1
n7680,1
n7682,1
n7684,1
n7685,1
n7688,1
n7690,1
n7691,1
n7692,1
n7694,1
n7696,1
n7698,1
n7699,1
n7700,1
n7704,1
n7705,1
n7706,1
n7710,1
n7711,1
n7714,1
n7720,1
n7722,1
n7723,1
n7724,1
n7730,1
n7731,1
n7732,1
n7733,1
n7734,1
n7736,1
n7738,1
n7740,1
n7741,1
n7746,1
n7747,1
n7748,1
n7750,1
n7751,1
n7754,1
n7755,1
n7758,1
n7760,1
n7761,1
n7762,1
n7764,1
n7766,1
n7767,1
n7770,1
n7771,1
n7772,1
n7778,1
n7779,1
n7780,1
n7784,1
n7785,1
n7786,1
n7788,1
n7789,1
n7792,1
n7793,1
n7796,1
n7798,1
n7799,1
n7804,1
n7805,1
n7806,1
n7808,1
n7809,1
n7810,1
n7816,1
n7817,1
n7820,1
n7821,1
n7822,1
n7824,1
n7825,1
n7830,1
n7831,1
n7834,1
n7835,1
n7838,1
n7839,1
n7840,1
n7841,1
n7844,1
n7845,1
n7848,1
n7849,1
n7852,1
n7854,1
n7855,1
n7858,1
n7859,1
n7860,1
n7861,1
n7872,1
n7874,1
n7876,1
n7877,1
n7898,1
n7966,1
n7974,1
n7975,1
n7980,1
n8000,1
n8019,1
n8024,1
n8030,1
n8034,1
n8035,1
n8116,1
n8150,1
n8154,1
n8156,1
n8157,1
n8158,1
n8160,1
n8162,1
n8163,1
n8164,1
n8168,1
n8169,1
n8172,1
n8174,1
n8175,1
n8176,1
n8178,1
n8180,1
n8182,1
n8183,1
n8188,1
n8190,1
n8192,1
n8194,1
n8196,1
n8197,1
n8202,1
n8206,1
n8207,1
n8208,1
n8210,1
n8212,1
n8213,1
n8218,1
n8220,1
n8224,1
n8225,1
n8226,1
n8228,1
n8230,1
n8231,1
n8234,1
n8235,1
n8238,1
n8239,1
n8242,1
n8244,1
n8245,1
n8246,1
n8248,1
n8252,1
n8253,1
n8254,1
n8255,1
n8258,1
n8259,1
n8262,1
n8264,1
n8266,1
n8267,1
n8270,1
n8272,1
n8273,1
n8278,1
n8279,1
n8280,1
n8282,1
n8283,1
n8284,1
n8288,1
n8289,1
n8292,1
n8293,1
n8294,1
n8296,1
n8300,1
n8301,1
n8302,1
n8306,1
n8307,1
n8308,1
n8310,1
n8312,1
n8313,1
