DATASET_BINARY

    SEPARATOR COMMA

    DATASET_LABEL,binary

    COLOR,#e41a1c

    FIELD_SHAPES,1

    FIELD_LABELS,f1

    DATA
    n17310,1
n17312,1
n22141,1
n22148,1
n22149,1
n22150,1
n22152,1
n22154,1
n22156,1
n22158,1
n22160,1
n22162,1
n22164,1
n22168,1
n22170,1
n22174,1
n22178,1
n22179,1
n22180,1
n22184,1
n22186,1
n22187,1
n22188,1
n22190,1
n22191,1
n22192,1
n22196,1
n22197,1
n22198,1
n22200,1
n22206,1
n22207,1
n22208,1
n22209,1
n22210,1
n22212,1
n22214,1
n22218,1
n22220,1
n22221,1
n22224,1
n22225,1
n22226,1
n22228,1
n22232,1
n22233,1
n22234,1
n22238,1
n22240,1
n22242,1
n22244,1
n22248,1
n22250,1
n22252,1
n22256,1
n22258,1
n22259,1
n22262,1
n22263,1
n22264,1
n22265,1
n22266,1
n22270,1
n22272,1
n22273,1
n22274,1
n22276,1
n22278,1
n22280,1
n22284,1
n22285,1
n22286,1
n22287,1
n22288,1
n22290,1
n22296,1
n22298,1
n22300,1
n22302,1
n22304,1
n22305,1
n22306,1
n22308,1
n22310,1
n22312,1
n22314,1
n22315,1
n22316,1
n22318,1
n22322,1
n22324,1
n22326,1
n22328,1
n22330,1
n22331,1
n22332,1
n22336,1
n22338,1
n22340,1
n22341,1
n22344,1
n22348,1
n22350,1
n22351,1
n22352,1
n22354,1
n22356,1
n22358,1
n22360,1
n22362,1
n22364,1
n22365,1
n22366,1
n22370,1
n22372,1
n22374,1
n22376,1
n22377,1
n22380,1
n22381,1
n22384,1
n22386,1
n22388,1
n22392,1
n22393,1
n22394,1
n22396,1
n22397,1
n22400,1
n22402,1
n22404,1
n22405,1
n22408,1
n22410,1
n22411,1
n22412,1
n22414,1
n22416,1
n22417,1
n22418,1
n22420,1
n22422,1
n22426,1
n22428,1
n22430,1
n22432,1
n22434,1
n22435,1
n22436,1
n22438,1
n22440,1
n22442,1
n22444,1
n22446,1
n22448,1
n22450,1
n22454,1
n22456,1
n22458,1
n22460,1
n22462,1
n22464,1
n22466,1
n22467,1
n22468,1
n22470,1
n22472,1
n22474,1
n22476,1
n22478,1
n22480,1
n22482,1
n22484,1
n22486,1
n22488,1
n22490,1
n22492,1
n22494,1
n22496,1
n22498,1
n22500,1
n22506,1
n22508,1
n22509,1
n22512,1
n22513,1
n22514,1
n22516,1
n22518,1
n22520,1
n22524,1
n22525,1
n22528,1
n22529,1
n22530,1
n22531,1
n22532,1
n22534,1
n22538,1
n22540,1
n22542,1
n22544,1
n22546,1
n22548,1
n22550,1
n22554,1
n22555,1
n22556,1
n22558,1
n22560,1
n22562,1
n22564,1
n22566,1
n22568,1
n22570,1
n22572,1
n22574,1
n22576,1
n22578,1
n22580,1
n22582,1
n22586,1
n22587,1
n22588,1
n22589,1
n22592,1
n22594,1
n22596,1
n22597,1
n22598,1
n22602,1
