DATASET_BINARY

    SEPARATOR COMMA

    DATASET_LABEL,binary

    COLOR,#e41a1c

    FIELD_SHAPES,1

    FIELD_LABELS,f1

    DATA
    n6920,1
n6926,1
n6927,1
n6928,1
n6930,1
n6931,1
n6934,1
n6936,1
n6937,1
n6940,1
n6941,1
n6942,1
n6946,1
n6947,1
n6948,1
n6949,1
n6950,1
n6954,1
n6956,1
n6958,1
n6962,1
n6963,1
n6964,1
n6966,1
n6967,1
n6970,1
n6972,1
n6974,1
n6980,1
n6981,1
n6982,1
n6983,1
n6984,1
n6986,1
n6988,1
n6990,1
n6992,1
n6994,1
n6995,1
n6996,1
n7000,1
n7004,1
n7006,1
n7008,1
n7009,1
n7012,1
n7013,1
n7014,1
n7016,1
n7018,1
n7020,1
n7021,1
n7024,1
n7026,1
n7028,1
n7029,1
n7032,1
n7034,1
n7036,1
n7038,1
n7039,1
n7042,1
n7043,1
n7044,1
n7046,1
n7048,1
n7050,1
n7051,1
n11288,1
n12668,1
n12670,1
n12671,1
n17739,1
n18632,1
n18633,1
n19592,1
n19593,1
